scope,k,arm,n_persons,n_targets,n_seeds,n_attempts,successes,rate,ci_lower,ci_upper,tau,tau_lower,tau_upper
pooled,0,trained,25,48,3,144,0,0.0,0.0,0.10462010226646294,0.0,-0.10462010226646294,0.10462010226646294
pooled,0,control,25,48,3,144,0,0.0,0.0,0.10462010226646294,0.0,-0.10462010226646294,0.10462010226646294
pooled,1,trained,25,48,3,144,0,0.0,0.0,0.10462010226646294,0.0,-0.10462010226646294,0.10462010226646294
pooled,1,control,25,48,3,144,0,0.0,0.0,0.10462010226646294,0.0,-0.10462010226646294,0.10462010226646294
pooled,2,trained,25,48,3,144,0,0.0,0.0,0.10462010226646294,0.0,-0.10462010226646294,0.10462010226646294
pooled,2,control,25,48,3,144,0,0.0,0.0,0.10462010226646294,0.0,-0.10462010226646294,0.10462010226646294
pooled,3,trained,25,48,3,144,0,0.0,0.0,0.10462010226646294,0.0,-0.10462010226646294,0.10462010226646294
pooled,3,control,25,48,3,144,0,0.0,0.0,0.10462010226646294,0.0,-0.10462010226646294,0.10462010226646294
pooled,4,trained,25,48,3,144,6,0.041666666666666664,0.006802721088435374,0.09219858156028368,0.027777777777777776,-0.014030612244897957,0.08144927536231884
pooled,4,control,25,48,3,144,2,0.013888888888888888,0.0,0.034722222222222224,0.027777777777777776,-0.014030612244897957,0.08144927536231884
pooled,6,trained,25,48,3,144,30,0.20833333333333334,0.1276595744680851,0.2907801418439716,-0.07638888888888887,-0.18439716312056736,0.03200544710637881
pooled,6,control,25,48,3,144,41,0.2847222222222222,0.2152777777777778,0.3546099290780142,-0.07638888888888887,-0.18439716312056736,0.03200544710637881
pooled,8,trained,25,48,3,144,70,0.4861111111111111,0.4097222222222222,0.5602836879432624,0.0,-0.10865339346570353,0.10685941043083902
pooled,8,control,25,48,3,144,70,0.4861111111111111,0.40816326530612246,0.562962962962963,0.0,-0.10865339346570353,0.10685941043083902
pooled,12,trained,25,48,3,144,96,0.6666666666666666,0.6,0.7346938775510204,0.01388888888888884,-0.08553733682803985,0.11111111111111105
pooled,12,control,25,48,3,144,94,0.6527777777777778,0.5833333333333334,0.7246376811594203,0.01388888888888884,-0.08553733682803985,0.11111111111111105
pooled,16,trained,25,48,3,144,106,0.7361111111111112,0.6802721088435374,0.7959183673469388,-0.02083333333333326,-0.10509424603174607,0.06530615260288514
pooled,16,control,25,48,3,144,109,0.7569444444444444,0.6938775510204082,0.8194444444444444,-0.02083333333333326,-0.10509424603174607,0.06530615260288514
pooled,20,trained,25,48,3,144,118,0.8194444444444444,0.7551020408163265,0.8819444444444444,0.0,-0.0895814061054579,0.09254535147392284
pooled,20,control,25,48,3,144,118,0.8194444444444444,0.75,0.8819444444444444,0.0,-0.0895814061054579,0.09254535147392284
