k,observed_alpha,isotonic_alpha
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.013333333333333332,0.013333333333333332
6,0.2733333333333333,0.2733333333333333
8,0.4733333333333333,0.4733333333333333
12,0.6333333333333334,0.6333333333333334
16,0.7466666666666667,0.7466666666666667
20,0.8066666666666668,0.8066666666666668
24,0.86,0.86
32,0.92,0.9166666666666667
48,0.9133333333333333,0.9166666666666667
64,0.9666666666666667,0.9666666666666667
