trained_target_id,field,control_target_id,pair_method,original_e17_control_was_attacked,fallback_standardized_squared_distance
9e83edf1243d,ssn,74bec0339b17,posthoc_nearest_attacked_C_same_E17_covariates,False,0.0011327589415344318
703a11f5095d,ssn,a926f741a6a5,original_E17_pair,True,
