field,k,n_persons_per_arm,n_seeds,n_targets_per_arm,n_attempts_per_arm,alpha,alpha_lower,alpha_upper,emr_D,emr_D_lower,emr_D_upper,tau,tau_lower,tau_upper,interval_method,C_attack_elapsed_h,D_attack_elapsed_h,allocated_GPU_h
pooled,0,25,3,50,150,0.0,0.0,0.10333504501592614,0.0,0.0,0.10333504501592614,0.0,-0.10333504501592614,0.10333504501592614,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.008513483140203688,0.008697449564933776,unknown
pooled,1,25,3,50,150,0.0,0.0,0.10333504501592614,0.0,0.0,0.10333504501592614,0.0,-0.10333504501592614,0.10333504501592614,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",0.7321949868069755,0.7349029174778197,unknown
pooled,2,25,3,50,150,0.0,0.0,0.10333504501592614,0.0,0.0,0.10333504501592614,0.0,-0.10333504501592614,0.10333504501592614,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",1.1238387148247824,1.1347943407297134,unknown
pooled,3,25,3,50,150,0.0,0.0,0.10333504501592614,0.0,0.0,0.10333504501592614,0.0,-0.10333504501592614,0.10333504501592614,"Newcombe/MOVER, two Wilson intervals with assumed n_eff",1.1625700953271654,1.1697153933180704,unknown
pooled,4,25,3,50,150,0.013333333333333332,0.0,0.03333333333333333,0.04,0.006666666666666666,0.08666666666666668,0.02666666666666667,-0.013333333333333332,0.07999999999999999,person-clustered percentile bootstrap,1.1839525269137487,1.1717661657598284,unknown
pooled,6,25,3,50,150,0.2733333333333333,0.20666666666666667,0.34,0.19999999999999996,0.12666666666666665,0.28,-0.07333333333333336,-0.18,0.0266666666666667,person-clustered percentile bootstrap,1.084904892179701,1.1211671401394738,unknown
pooled,8,25,3,50,150,0.4733333333333333,0.4,0.5466666666666667,0.48666666666666664,0.4133333333333333,0.5533333333333333,0.013333333333333364,-0.09333333333333327,0.11333333333333329,person-clustered percentile bootstrap,0.9510105197959476,0.9403329097562366,unknown
pooled,12,25,3,50,150,0.6333333333333334,0.5666666666666668,0.7,0.66,0.6,0.7266666666666666,0.026666666666666616,-0.06666666666666676,0.11999999999999988,person-clustered percentile bootstrap,0.8144177969959047,0.819384726219707,unknown
pooled,16,25,3,50,150,0.7466666666666667,0.6866666666666665,0.8066666666666665,0.7333333333333334,0.6733333333333335,0.7933333333333333,-0.013333333333333308,-0.0933333333333336,0.07333333333333314,person-clustered percentile bootstrap,0.7500237069527308,0.7580192425515917,unknown
pooled,20,25,3,50,150,0.8066666666666668,0.74,0.8666666666666667,0.8200000000000002,0.7599999999999999,0.88,0.01333333333333342,-0.07333333333333336,0.1000000000000002,person-clustered percentile bootstrap,0.7820833241939544,0.765728935069508,unknown
