hypothesis,status,estimate,ci_low,ci_high,p_raw,p_holm,verdict
H1,confirmatory,0.9944903161976938,0.9749972783588643,0.9944903161976939,9.999000099990002e-05,0.00039996000399960006,supported
H2,confirmatory_but_global_test_undefined,0.01,,0.10333504501592614,,1.0,unresolved_at_achieved_sample_size
H3,confirmatory,0.040000000000000036,-0.053333333333333344,0.1333333333333333,0.42755724427557246,0.8551144885511449,does_not_reject_zero_after_conditional_holm
H4,confirmatory_working_model,2.4693904739956842,1.1229098933861967,3.6081978692513252,0.025397460253974602,0.0761923807619238,nominal_ci_excludes_one_but_not_significant_after_conditional_holm
H5,exploratory_underpowered,-0.011899502612416051,-0.023856143233649565,-0.00011399872569838785,0.025597440255974404,,exploratory_interior_peak_localized
