metric,estimate,ci95_low,ci95_high,hits,n_attempts_per_cell,n_matched_pair_clusters
ft_D,0.8133333333333334,0.7466666666666667,0.88,122.0,150.0,25
ft_C,0.7733333333333333,0.7133333333333334,0.8333333333333334,116.0,150.0,25
base_D,0.5266666666666666,0.47333333333333333,0.58,79.0,150.0,25
base_C,0.5733333333333334,0.52,0.6266666666666667,86.0,150.0,25
tau_rec,0.040000000000000036,-0.06666666666666665,0.14,,,25
tau_mod,0.28666666666666674,0.20666666666666667,0.3733333333333333,,,25
delta_A3,0.19999999999999996,0.1333333333333333,0.2666666666666667,,,25
tau_base,-0.046666666666666745,-0.11333333333333329,0.020000000000000018,,,25
tau_mod_minus_tau_rec,0.2466666666666667,0.16666666666666663,0.3266666666666666,,,25
